timestamp_utc,session_count,mem_available_mib,swap_used_mib,load1,container,cpu_percent,mem_used_mib,pids
2026-07-03T02:20:12Z,6,11251,0,2.22,cgv-shinyproxy,0.89,573.30,128
2026-07-03T02:20:12Z,6,11251,0,2.22,cgv-nginx,0.00,7.12,9
2026-07-03T02:20:12Z,6,11251,0,2.22,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.46,494.80,27
2026-07-03T02:20:12Z,6,11251,0,2.22,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,101.59,425.90,27
2026-07-03T02:20:12Z,6,11251,0,2.22,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,92.61,467.50,27
2026-07-03T02:20:12Z,6,11251,0,2.22,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,90.23,424.50,27
2026-07-03T02:20:12Z,6,11251,0,2.22,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,96.94,468.50,27
2026-07-03T02:20:12Z,6,11251,0,2.22,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,95.88,424.80,27
2026-07-03T02:20:18Z,6,11184,0,2.52,cgv-shinyproxy,0.91,580.20,128
2026-07-03T02:20:18Z,6,11184,0,2.52,cgv-nginx,0.00,7.07,9
2026-07-03T02:20:18Z,6,11184,0,2.52,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.43,494.80,27
2026-07-03T02:20:18Z,6,11184,0,2.52,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,100.46,477.80,27
2026-07-03T02:20:18Z,6,11184,0,2.52,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,93.70,467.50,27
2026-07-03T02:20:18Z,6,11184,0,2.52,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,75.05,424.50,27
2026-07-03T02:20:18Z,6,11184,0,2.52,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,97.16,489.80,27
2026-07-03T02:20:18Z,6,11184,0,2.52,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,94.97,477.50,27
2026-07-03T02:20:23Z,6,11083,0,2.81,cgv-shinyproxy,0.91,580.20,128
2026-07-03T02:20:23Z,6,11083,0,2.81,cgv-nginx,0.00,7.07,9
2026-07-03T02:20:23Z,6,11083,0,2.81,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.41,494.80,27
2026-07-03T02:20:23Z,6,11083,0,2.81,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,96.85,505.80,27
2026-07-03T02:20:23Z,6,11083,0,2.81,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,84.40,495.50,27
2026-07-03T02:20:23Z,6,11083,0,2.81,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,64.29,424.50,27
2026-07-03T02:20:23Z,6,11083,0,2.81,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,84.05,496.50,27
2026-07-03T02:20:23Z,6,11083,0,2.81,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,93.61,505.50,27
2026-07-03T02:20:29Z,6,11046,0,2.66,cgv-shinyproxy,0.91,580.20,128
2026-07-03T02:20:29Z,6,11046,0,2.66,cgv-nginx,0.00,7.07,9
2026-07-03T02:20:29Z,6,11046,0,2.66,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.39,494.80,27
2026-07-03T02:20:29Z,6,11046,0,2.66,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,85.02,505.80,27
2026-07-03T02:20:29Z,6,11046,0,2.66,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,74.05,495.50,27
2026-07-03T02:20:29Z,6,11046,0,2.66,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,56.39,424.50,27
2026-07-03T02:20:29Z,6,11046,0,2.66,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,73.71,496.50,27
2026-07-03T02:20:29Z,6,11046,0,2.66,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,86.08,558.90,27
2026-07-03T02:20:34Z,6,10781,0,2.53,cgv-shinyproxy,0.91,580.20,128
2026-07-03T02:20:34Z,6,10781,0,2.53,cgv-nginx,0.00,7.07,9
2026-07-03T02:20:34Z,6,10781,0,2.53,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.37,494.80,27
2026-07-03T02:20:34Z,6,10781,0,2.53,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,75.75,505.80,27
2026-07-03T02:20:34Z,6,10781,0,2.53,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,65.94,495.50,27
2026-07-03T02:20:34Z,6,10781,0,2.53,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,50.20,424.50,27
2026-07-03T02:20:34Z,6,10781,0,2.53,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,65.62,496.50,27
2026-07-03T02:20:34Z,6,10781,0,2.53,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,87.61,804.90,27
2026-07-03T02:20:40Z,6,10452,0,2.65,cgv-shinyproxy,0.91,580.20,128
2026-07-03T02:20:40Z,6,10452,0,2.65,cgv-nginx,0.00,7.07,9
2026-07-03T02:20:40Z,6,10452,0,2.65,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.35,494.80,27
2026-07-03T02:20:40Z,6,10452,0,2.65,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,68.58,505.80,27
2026-07-03T02:20:40Z,6,10452,0,2.65,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,59.46,495.50,27
2026-07-03T02:20:40Z,6,10452,0,2.65,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,45.25,424.50,27
2026-07-03T02:20:40Z,6,10452,0,2.65,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,59.15,496.50,27
2026-07-03T02:20:40Z,6,10452,0,2.65,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,88.61,1166.34,27
2026-07-03T02:20:46Z,6,10183,0,2.59,cgv-shinyproxy,0.91,580.20,128
2026-07-03T02:20:46Z,6,10183,0,2.59,cgv-nginx,0.00,7.07,9
